Version,Subject,Time Step,EnvirInFlow,EnvirOutFlow,UserInFlow,UserOutFlow,AmountInTank,Goal
Linear increase,t28,89,9.120,0.000,0.000,9.120,4.000,4.000
Linear increase,t28,90,9.200,0.000,0.000,9.200,4.000,4.000
Linear increase,t28,91,9.280,0.000,0.000,9.280,4.000,4.000
Linear increase,t28,92,9.360,0.000,0.000,9.360,4.000,4.000
Linear increase,t28,93,9.440,0.000,0.000,9.440,4.000,4.000
Linear increase,t28,94,9.520,0.000,0.000,9.520,4.000,4.000
Linear increase,t28,95,9.600,0.000,0.000,9.600,4.000,4.000
Linear increase,t28,96,9.680,0.000,0.000,9.680,4.000,4.000
Linear increase,t28,97,9.760,0.000,0.000,9.760,4.000,4.000
Linear increase,t28,98,9.840,0.000,0.000,9.840,4.000,4.000
Linear increase,t28,99,9.920,0.000,0.000,9.920,4.000,4.000
Linear increase,t28,100,10.000,0.000,0.000,10.000,4.000,4.000
Linear increase,t30,1,2.080,0.000,2.000,1.000,5.080,4.000
Linear increase,t30,2,2.160,0.000,0.000,2.900,4.340,4.000
Linear increase,t30,3,2.240,0.000,0.000,2.580,4.000,4.000
Linear increase,t30,4,2.320,0.000,0.000,2.320,4.000,4.000
Linear increase,t30,5,2.400,0.000,0.000,2.400,4.000,4.000
Linear increase,t30,6,2.480,0.000,0.000,2.480,4.000,4.000
Linear increase,t30,7,2.560,0.000,0.000,2.560,4.000,4.000
Linear increase,t30,8,2.640,0.000,0.000,2.640,4.000,4.000
Linear increase,t30,9,2.720,0.000,0.000,2.720,4.000,4.000
Linear increase,t30,10,2.800,0.000,0.000,2.800,4.000,4.000
Linear increase,t30,11,2.880,0.000,2.880,0.000,9.760,4.000
Linear increase,t30,12,2.960,0.000,2.960,0.000,15.680,4.000
Linear increase,t30,13,3.040,0.000,0.000,14.720,4.000,4.000
Linear increase,t30,14,3.120,0.000,0.000,3.120,4.000,4.000
Linear increase,t30,15,3.200,0.000,0.000,3.200,4.000,4.000
Linear increase,t30,16,3.280,0.000,0.000,2.280,5.000,4.000
Linear increase,t30,17,3.360,0.000,0.000,4.320,4.040,4.000
Linear increase,t30,18,3.440,0.000,0.000,3.400,4.080,4.000
Linear increase,t30,19,3.520,0.000,0.000,3.610,3.990,4.000
Linear increase,t30,20,3.600,0.000,0.000,3.600,3.990,4.000
Linear increase,t30,21,3.680,0.000,0.000,3.680,3.990,4.000
Linear increase,t30,22,3.760,0.000,0.000,3.760,3.990,4.000
Linear increase,t30,23,3.840,0.000,0.000,3.840,3.990,4.000
Linear increase,t30,24,3.920,0.000,0.000,3.920,3.990,4.000
Linear increase,t30,25,4.000,0.000,0.000,4.000,3.990,4.000
Linear increase,t30,26,4.080,0.000,0.000,4.080,3.990,4.000
Linear increase,t30,27,4.160,0.000,0.000,4.160,3.990,4.000
Linear increase,t30,28,4.240,0.000,0.000,4.240,3.990,4.000
Linear increase,t30,29,4.320,0.000,0.000,4.320,3.990,4.000
Linear increase,t30,30,4.400,0.000,0.000,4.400,3.990,4.000
Linear increase,t30,31,4.480,0.000,0.000,4.480,3.990,4.000
Linear increase,t30,32,4.560,0.000,0.000,4.560,3.990,4.000
Linear increase,t30,33,4.640,0.000,0.000,4.640,3.990,4.000
Linear increase,t30,34,4.720,0.000,0.000,4.720,3.990,4.000
Linear increase,t30,35,4.800,0.000,0.000,4.800,3.990,4.000
Linear increase,t30,36,4.880,0.000,0.000,4.880,3.990,4.000
Linear increase,t30,37,4.960,0.000,0.000,4.960,3.990,4.000
Linear increase,t30,38,5.040,0.000,0.000,5.040,3.990,4.000
Linear increase,t30,39,5.120,0.000,0.000,5.120,3.990,4.000
Linear increase,t30,40,5.200,0.000,0.000,5.200,3.990,4.000
Linear increase,t30,41,5.280,0.000,0.000,5.280,3.990,4.000
Linear increase,t30,42,5.360,0.000,0.000,5.360,3.990,4.000
Linear increase,t30,43,5.440,0.000,0.000,5.440,3.990,4.000
Linear increase,t30,44,5.520,0.000,0.000,5.520,3.990,4.000
Linear increase,t30,45,5.600,0.000,0.000,5.600,3.990,4.000
Linear increase,t30,46,5.680,0.000,0.000,5.680,3.990,4.000
Linear increase,t30,47,5.760,0.000,0.000,5.760,3.990,4.000
Linear increase,t30,48,5.840,0.000,0.000,5.840,3.990,4.000
Linear increase,t30,49,5.920,0.000,0.000,5.920,3.990,4.000
Linear increase,t30,50,6.000,0.000,0.000,6.000,3.990,4.000
Linear increase,t30,51,6.080,0.000,0.000,6.080,3.990,4.000
Linear increase,t30,52,6.160,0.000,0.000,6.160,3.990,4.000
Linear increase,t30,53,6.240,0.000,0.000,6.240,3.990,4.000
Linear increase,t30,54,6.320,0.000,0.000,6.320,3.990,4.000
Linear increase,t30,55,6.400,0.000,0.000,6.400,3.990,4.000
Linear increase,t30,56,6.480,0.000,0.000,6.480,3.990,4.000
Linear increase,t30,57,6.560,0.000,0.000,6.560,3.990,4.000
Linear increase,t30,58,6.640,0.000,0.000,6.640,3.990,4.000
Linear increase,t30,59,6.720,0.000,0.000,6.720,3.990,4.000
Linear increase,t30,60,6.800,0.000,0.000,6.800,3.990,4.000
Linear increase,t30,61,6.880,0.000,0.000,6.880,3.990,4.000
Linear increase,t30,62,6.960,0.000,0.000,6.960,3.990,4.000
Linear increase,t30,63,7.040,0.000,0.000,7.040,3.990,4.000
Linear increase,t30,64,7.120,0.000,0.000,7.120,3.990,4.000
Linear increase,t30,65,7.200,0.000,0.000,7.200,3.990,4.000
Linear increase,t30,66,7.280,0.000,0.000,7.280,3.990,4.000
Linear increase,t30,67,7.360,0.000,0.000,7.360,3.990,4.000
Linear increase,t30,68,7.440,0.000,0.000,7.440,3.990,4.000
Linear increase,t30,69,7.520,0.000,0.000,7.520,3.990,4.000
Linear increase,t30,70,7.600,0.000,0.000,7.600,3.990,4.000
Linear increase,t30,71,7.680,0.000,0.000,7.680,3.990,4.000
Linear increase,t30,72,7.760,0.000,0.000,7.760,3.990,4.000
Linear increase,t30,73,7.840,0.000,0.000,7.840,3.990,4.000
Linear increase,t30,74,7.920,0.000,0.000,7.920,3.990,4.000
Linear increase,t30,75,8.000,0.000,0.000,8.000,3.990,4.000
Linear increase,t30,76,8.080,0.000,0.000,8.080,3.990,4.000
Linear increase,t30,77,8.160,0.000,0.000,8.160,3.990,4.000
Linear increase,t30,78,8.240,0.000,0.000,8.240,3.990,4.000
Linear increase,t30,79,8.320,0.000,0.000,8.320,3.990,4.000
Linear increase,t30,80,8.400,0.000,0.000,8.400,3.990,4.000
Linear increase,t30,81,8.480,0.000,0.000,8.480,3.990,4.000
Linear increase,t30,82,8.560,0.000,0.000,8.560,3.990,4.000
Linear increase,t30,83,8.640,0.000,0.000,8.640,3.990,4.000
Linear increase,t30,84,8.720,0.000,0.000,8.720,3.990,4.000
Linear increase,t30,85,8.800,0.000,0.000,8.800,3.990,4.000
Linear increase,t30,86,8.880,0.000,0.000,8.880,3.990,4.000
Linear increase,t30,87,8.960,0.000,0.000,8.960,3.990,4.000
Linear increase,t30,88,9.040,0.000,0.000,9.040,3.990,4.000
Linear increase,t30,89,9.120,0.000,0.000,9.120,3.990,4.000
Linear increase,t30,90,9.200,0.000,0.000,9.200,3.990,4.000
Linear increase,t30,91,9.280,0.000,0.000,9.280,3.990,4.000
Linear increase,t30,92,9.360,0.000,0.000,9.360,3.990,4.000
Linear increase,t30,93,9.440,0.000,0.000,9.440,3.990,4.000
Linear increase,t30,94,9.520,0.000,0.000,9.520,3.990,4.000
Linear increase,t30,95,9.600,0.000,0.000,9.600,3.990,4.000
Linear increase,t30,96,9.680,0.000,0.000,9.680,3.990,4.000
Linear increase,t30,97,9.760,0.000,0.000,9.760,3.990,4.000
Linear increase,t30,98,9.840,0.000,0.000,9.840,3.990,4.000
Linear increase,t30,99,9.920,0.000,0.000,9.920,3.990,4.000
Linear increase,t30,100,10.000,0.000,0.000,10.000,3.990,4.000
Linear increase,t32,1,2.080,0.000,3.500,1.250,6.330,4.000
Linear increase,t32,2,2.160,0.000,0.000,3.000,5.490,4.000
Linear increase,t32,3,2.240,0.000,0.000,5.000,2.730,4.000
Linear increase,t32,4,2.320,0.000,0.000,1.000,4.050,4.000
Linear increase,t32,5,2.400,0.000,0.000,2.320,4.130,4.000
Linear increase,t32,6,2.480,0.000,0.000,2.400,4.210,4.000
Linear increase,t32,7,2.560,0.000,0.000,2.480,4.290,4.000
Linear increase,t32,8,2.640,0.000,0.000,2.720,4.210,4.000
Linear increase,t32,9,2.720,0.000,0.000,2.900,4.030,4.000
Linear increase,t32,10,2.800,0.000,0.000,2.830,4.000,4.000
Linear increase,t32,11,2.880,0.000,0.000,2.880,4.000,4.000
Linear increase,t32,12,2.960,0.000,0.000,2.960,4.000,4.000
Linear increase,t32,13,3.040,0.000,0.000,3.040,4.000,4.000
Linear increase,t32,14,3.120,0.000,0.000,3.120,4.000,4.000
Linear increase,t32,15,3.200,0.000,0.000,3.200,4.000,4.000
Linear increase,t32,16,3.280,0.000,0.000,3.280,4.000,4.000
Linear increase,t32,17,3.360,0.000,0.000,3.360,4.000,4.000
Linear increase,t32,18,3.440,0.000,0.000,3.420,4.020,4.000
Linear increase,t32,19,3.520,0.000,0.000,3.540,4.000,4.000
Linear increase,t32,20,3.600,0.000,0.000,3.600,4.000,4.000
Linear increase,t32,21,3.680,0.000,0.000,3.680,4.000,4.000
Linear increase,t32,22,3.760,0.000,0.000,3.760,4.000,4.000
Linear increase,t32,23,3.840,0.000,0.000,3.840,4.000,4.000
Linear increase,t32,24,3.920,0.000,0.000,3.920,4.000,4.000
Linear increase,t32,25,4.000,0.000,0.000,4.000,4.000,4.000
Linear increase,t32,26,4.080,0.000,0.000,4.080,4.000,4.000
Linear increase,t32,27,4.160,0.000,0.000,4.160,4.000,4.000
Linear increase,t32,28,4.240,0.000,0.000,4.240,4.000,4.000
Linear increase,t32,29,4.320,0.000,0.000,4.320,4.000,4.000
Linear increase,t32,30,4.400,0.000,0.000,4.400,4.000,4.000
Linear increase,t32,31,4.480,0.000,0.000,4.480,4.000,4.000
Linear increase,t32,32,4.560,0.000,0.000,4.560,4.000,4.000
Linear increase,t32,33,4.640,0.000,0.000,4.640,4.000,4.000
Linear increase,t32,34,4.720,0.000,0.000,4.720,4.000,4.000
Linear increase,t32,35,4.800,0.000,0.000,4.800,4.000,4.000
Linear increase,t32,36,4.880,0.000,0.000,4.880,4.000,4.000
Linear increase,t32,37,4.960,0.000,0.000,4.960,4.000,4.000
Linear increase,t32,38,5.040,0.000,0.000,5.040,4.000,4.000
Linear increase,t32,39,5.120,0.000,0.000,5.120,4.000,4.000
Linear increase,t32,40,5.200,0.000,0.000,5.200,4.000,4.000
Linear increase,t32,41,5.280,0.000,0.000,5.280,4.000,4.000
Linear increase,t32,42,5.360,0.000,0.000,5.360,4.000,4.000
Linear increase,t32,43,5.440,0.000,0.000,5.440,4.000,4.000
Linear increase,t32,44,5.520,0.000,0.000,5.520,4.000,4.000
Linear increase,t32,45,5.600,0.000,0.000,5.600,4.000,4.000
Linear increase,t32,46,5.680,0.000,0.000,5.680,4.000,4.000
Linear increase,t32,47,5.760,0.000,0.000,5.760,4.000,4.000
Linear increase,t32,48,5.840,0.000,0.000,5.840,4.000,4.000
Linear increase,t32,49,5.920,0.000,0.000,5.920,4.000,4.000
Linear increase,t32,50,6.000,0.000,0.000,6.000,4.000,4.000
Linear increase,t32,51,6.080,0.000,0.000,6.080,4.000,4.000
Linear increase,t32,52,6.160,0.000,0.000,6.160,4.000,4.000
Linear increase,t32,53,6.240,0.000,0.000,6.240,4.000,4.000
Linear increase,t32,54,6.320,0.000,0.000,6.320,4.000,4.000
Linear increase,t32,55,6.400,0.000,0.000,6.400,4.000,4.000
Linear increase,t32,56,6.480,0.000,0.000,6.480,4.000,4.000
Linear increase,t32,57,6.560,0.000,0.000,6.560,4.000,4.000
Linear increase,t32,58,6.640,0.000,0.000,6.640,4.000,4.000
Linear increase,t32,59,6.720,0.000,0.000,6.720,4.000,4.000
Linear increase,t32,60,6.800,0.000,0.000,6.800,4.000,4.000
Linear increase,t32,61,6.880,0.000,0.000,6.880,4.000,4.000
Linear increase,t32,62,6.960,0.000,0.000,6.960,4.000,4.000
Linear increase,t32,63,7.040,0.000,0.000,7.040,4.000,4.000
Linear increase,t32,64,7.120,0.000,0.000,7.120,4.000,4.000
Linear increase,t32,65,7.200,0.000,0.000,7.200,4.000,4.000
Linear increase,t32,66,7.280,0.000,0.000,7.280,4.000,4.000
Linear increase,t32,67,7.360,0.000,0.000,7.360,4.000,4.000
Linear increase,t32,68,7.440,0.000,0.000,7.440,4.000,4.000
Linear increase,t32,69,7.520,0.000,0.000,7.520,4.000,4.000
Linear increase,t32,70,7.600,0.000,0.000,7.600,4.000,4.000
Linear increase,t32,71,7.680,0.000,0.000,7.680,4.000,4.000
Linear increase,t32,72,7.760,0.000,0.000,7.760,4.000,4.000
Linear increase,t32,73,7.840,0.000,0.000,7.840,4.000,4.000
Linear increase,t32,74,7.920,0.000,0.000,7.920,4.000,4.000
Linear increase,t32,75,8.000,0.000,0.000,8.000,4.000,4.000
Linear increase,t32,76,8.080,0.000,0.000,8.080,4.000,4.000
Linear increase,t32,77,8.160,0.000,0.000,8.160,4.000,4.000
Linear increase,t32,78,8.240,0.000,0.000,8.240,4.000,4.000
Linear increase,t32,79,8.320,0.000,0.000,8.320,4.000,4.000
Linear increase,t32,80,8.400,0.000,0.000,8.400,4.000,4.000
Linear increase,t32,81,8.480,0.000,0.000,8.480,4.000,4.000
Linear increase,t32,82,8.560,0.000,0.000,8.560,4.000,4.000
Linear increase,t32,83,8.640,0.000,0.000,8.640,4.000,4.000
Linear increase,t32,84,8.720,0.000,0.000,8.720,4.000,4.000
Linear increase,t32,85,8.800,0.000,0.000,8.800,4.000,4.000
Linear increase,t32,86,8.880,0.000,0.000,8.880,4.000,4.000
Linear increase,t32,87,8.960,0.000,0.000,8.960,4.000,4.000
Linear increase,t32,88,9.040,0.000,0.000,9.040,4.000,4.000
Linear increase,t32,89,9.120,0.000,0.000,9.120,4.000,4.000
Linear increase,t32,90,9.200,0.000,0.000,9.200,4.000,4.000
Linear increase,t32,91,9.280,0.000,0.000,9.280,4.000,4.000
Linear increase,t32,92,9.360,0.000,0.000,9.360,4.000,4.000
Linear increase,t32,93,9.440,0.000,0.000,9.440,4.000,4.000
Linear increase,t32,94,9.520,0.000,0.000,9.520,4.000,4.000
Linear increase,t32,95,9.600,0.000,0.000,9.600,4.000,4.000
Linear increase,t32,96,9.680,0.000,0.000,9.680,4.000,4.000
Linear increase,t32,97,9.760,0.000,0.000,9.760,4.000,4.000
Linear increase,t32,98,9.840,0.000,0.000,9.840,4.000,4.000
Linear increase,t32,99,9.920,0.000,0.000,9.920,4.000,4.000
Linear increase,t32,100,10.000,0.000,0.000,10.000,4.000,4.000
Linear increase,t34,1,2.080,0.000,1.000,1.000,4.080,4.000
Linear increase,t34,2,2.160,0.000,2.000,4.000,4.240,4.000
Linear increase,t34,3,2.240,0.000,1.000,1.000,6.480,4.000
Linear increase,t34,4,2.320,0.000,2.000,1.000,9.800,4.000
Linear increase,t34,5,2.400,0.000,0.000,5.000,7.200,4.000
Linear increase,t34,6,2.480,0.000,0.000,3.000,6.680,4.000
Linear increase,t34,7,2.560,0.000,0.000,4.000,5.240,4.000
Linear increase,t34,8,2.640,0.000,0.000,2.000,5.880,4.000
Linear increase,t34,9,2.720,0.000,0.000,2.580,6.020,4.000
Linear increase,t34,10,2.800,0.000,0.000,4.000,4.820,4.000
Linear increase,t34,11,2.880,0.000,0.000,4.900,2.800,4.000
Linear increase,t34,12,2.960,0.000,0.000,1.760,4.000,4.000
Linear increase,t34,13,3.040,0.000,0.000,3.040,4.000,4.000
Linear increase,t34,14,3.120,0.000,0.000,3.120,4.000,4.000
Linear increase,t34,15,3.200,0.000,5.000,8.200,4.000,4.000
Linear increase,t34,16,3.280,0.000,1.000,4.280,4.000,4.000
Linear increase,t34,17,3.360,0.000,0.000,3.360,4.000,4.000
Linear increase,t34,18,3.440,0.000,0.000,3.440,4.000,4.000
Linear increase,t34,19,3.520,0.000,0.000,5.510,2.010,4.000
Linear increase,t34,20,3.600,0.000,0.000,1.610,4.000,4.000
Linear increase,t34,21,3.680,0.000,0.000,3.680,4.000,4.000
Linear increase,t34,22,3.760,0.000,0.000,3.760,4.000,4.000
Linear increase,t34,23,3.840,0.000,0.000,3.840,4.000,4.000
Linear increase,t34,24,3.920,0.000,0.000,3.920,4.000,4.000
Linear increase,t34,25,4.000,0.000,0.000,4.000,4.000,4.000
Linear increase,t34,26,4.080,0.000,0.000,4.080,4.000,4.000
Linear increase,t34,27,4.160,0.000,0.000,4.160,4.000,4.000
Linear increase,t34,28,4.240,0.000,0.000,4.240,4.000,4.000
Linear increase,t34,29,4.320,0.000,0.000,4.320,4.000,4.000
Linear increase,t34,30,4.400,0.000,0.000,4.400,4.000,4.000
Linear increase,t34,31,4.480,0.000,2.000,6.480,4.000,4.000
Linear increase,t34,32,4.560,0.000,0.000,4.560,4.000,4.000
Linear increase,t34,33,4.640,0.000,0.000,4.630,4.010,4.000
Linear increase,t34,34,4.720,0.000,0.000,4.730,4.000,4.000
Linear increase,t34,35,4.800,0.000,0.000,4.790,4.010,4.000
Linear increase,t34,36,4.880,0.000,0.000,4.900,3.990,4.000
Linear increase,t34,37,4.960,0.000,0.000,4.940,4.010,4.000
Linear increase,t34,38,5.040,0.000,0.000,5.050,4.000,4.000
Linear increase,t34,39,5.120,0.000,0.000,5.120,4.000,4.000
Linear increase,t34,40,5.200,0.000,0.000,5.200,4.000,4.000
Linear increase,t34,41,5.280,0.000,0.000,5.280,4.000,4.000
Linear increase,t34,42,5.360,0.000,0.000,5.360,4.000,4.000
Linear increase,t34,43,5.440,0.000,0.000,5.440,4.000,4.000
Linear increase,t34,44,5.520,0.000,0.000,5.520,4.000,4.000
Linear increase,t34,45,5.600,0.000,0.000,5.600,4.000,4.000
Linear increase,t34,46,5.680,0.000,0.000,5.680,4.000,4.000
Linear increase,t34,47,5.760,0.000,0.000,5.760,4.000,4.000
Linear increase,t34,48,5.840,0.000,0.000,5.840,4.000,4.000
Linear increase,t34,49,5.920,0.000,0.000,5.920,4.000,4.000
Linear increase,t34,50,6.000,0.000,0.000,6.000,4.000,4.000
Linear increase,t34,51,6.080,0.000,0.000,6.080,4.000,4.000
Linear increase,t34,52,6.160,0.000,0.000,6.160,4.000,4.000
Linear increase,t34,53,6.240,0.000,0.000,6.240,4.000,4.000
Linear increase,t34,54,6.320,0.000,0.030,6.350,4.000,4.000
Linear increase,t34,55,6.400,0.000,0.040,6.440,4.000,4.000
Linear increase,t34,56,6.480,0.000,0.000,6.480,4.000,4.000
Linear increase,t34,57,6.560,0.000,0.000,6.560,4.000,4.000
Linear increase,t34,58,6.640,0.000,0.000,6.640,4.000,4.000
Linear increase,t34,59,6.720,0.000,0.000,6.720,4.000,4.000
Linear increase,t34,60,6.800,0.000,0.000,6.800,4.000,4.000
Linear increase,t34,61,6.880,0.000,0.000,6.880,4.000,4.000
Linear increase,t34,62,6.960,0.000,0.000,6.960,4.000,4.000
Linear increase,t34,63,7.040,0.000,0.000,7.040,4.000,4.000
Linear increase,t34,64,7.120,0.000,0.000,7.120,4.000,4.000
Linear increase,t34,65,7.200,0.000,0.000,7.200,4.000,4.000
Linear increase,t34,66,7.280,0.000,0.000,7.000,4.280,4.000
Linear increase,t34,67,7.360,0.000,0.000,7.640,4.000,4.000
Linear increase,t34,68,7.440,0.000,0.000,7.440,4.000,4.000
Linear increase,t34,69,7.520,0.000,0.000,7.520,4.000,4.000
Linear increase,t34,70,7.600,0.000,0.000,7.600,4.000,4.000
Linear increase,t34,71,7.680,0.000,0.000,7.680,4.000,4.000
Linear increase,t34,72,7.760,0.000,0.000,7.760,4.000,4.000
Linear increase,t34,73,7.840,0.000,0.000,7.840,4.000,4.000
Linear increase,t34,74,7.920,0.000,0.000,7.920,4.000,4.000
Linear increase,t34,75,8.000,0.000,0.000,8.000,4.000,4.000
Linear increase,t34,76,8.080,0.000,0.000,8.080,4.000,4.000
Linear increase,t34,77,8.160,0.000,0.000,8.160,4.000,4.000
Linear increase,t34,78,8.240,0.000,0.000,8.240,4.000,4.000
Linear increase,t34,79,8.320,0.000,0.000,8.320,4.000,4.000
Linear increase,t34,80,8.400,0.000,0.000,8.400,4.000,4.000
Linear increase,t34,81,8.480,0.000,0.000,8.480,4.000,4.000
Linear increase,t34,82,8.560,0.000,0.000,8.560,4.000,4.000
Linear increase,t34,83,8.640,0.000,0.000,8.640,4.000,4.000
Linear increase,t34,84,8.720,0.000,0.000,8.720,4.000,4.000
Linear increase,t34,85,8.800,0.000,0.000,8.800,4.000,4.000
Linear increase,t34,86,8.880,0.000,0.000,8.880,4.000,4.000
Linear increase,t34,87,8.960,0.000,0.000,8.960,4.000,4.000
Linear increase,t34,88,9.040,0.000,0.000,9.040,4.000,4.000
Linear increase,t34,89,9.120,0.000,0.000,9.120,4.000,4.000
Linear increase,t34,90,9.200,0.000,0.000,9.200,4.000,4.000
Linear increase,t34,91,9.280,0.000,0.000,9.280,4.000,4.000
Linear increase,t34,92,9.360,0.000,0.000,9.360,4.000,4.000
Linear increase,t34,93,9.440,0.000,0.000,9.440,4.000,4.000
Linear increase,t34,94,9.520,0.000,0.000,9.520,4.000,4.000
Linear increase,t34,95,9.600,0.000,0.000,9.600,4.000,4.000
Linear increase,t34,96,9.680,0.000,0.000,9.680,4.000,4.000
Linear increase,t34,97,9.760,0.000,0.000,9.760,4.000,4.000
Linear increase,t34,98,9.840,0.000,0.000,9.840,4.000,4.000
Linear increase,t34,99,9.920,0.000,0.000,9.920,4.000,4.000
Linear increase,t34,100,10.000,0.000,0.000,10.000,4.000,4.000
Linear increase,t36,1,2.080,0.000,3.000,1.000,6.080,4.000
Linear increase,t36,2,2.160,0.000,2.000,3.000,7.240,4.000
Linear increase,t36,3,2.240,0.000,0.000,5.000,4.480,4.000
Linear increase,t36,4,2.320,0.000,0.000,2.000,4.800,4.000
Linear increase,t36,5,2.400,0.000,0.000,3.000,4.200,4.000
Linear increase,t36,6,2.480,0.000,1.000,4.000,3.680,4.000
Linear increase,t36,7,2.560,0.000,0.500,1.000,5.740,4.000
Linear increase,t36,8,2.640,0.000,0.000,3.800,4.580,4.000
Linear increase,t36,9,2.720,0.000,0.000,4.000,3.300,4.000
Linear increase,t36,10,2.800,0.000,0.000,2.000,4.100,4.000
Linear increase,t36,11,2.880,0.000,0.000,3.000,3.980,4.000
Linear increase,t36,12,2.960,0.000,1.000,4.000,3.940,4.000
Linear increase,t36,13,3.040,0.000,0.000,3.000,3.980,4.000
Linear increase,t36,14,3.120,0.000,0.000,3.100,4.000,4.000
Linear increase,t36,15,3.200,0.000,0.000,3.200,4.000,4.000
Linear increase,t36,16,3.280,0.000,2.000,5.300,3.980,4.000
Linear increase,t36,17,3.360,0.000,0.000,3.500,3.840,4.000
Linear increase,t36,18,3.440,0.000,0.000,3.300,3.980,4.000
Linear increase,t36,19,3.520,0.000,2.000,5.500,4.000,4.000
Linear increase,t36,20,3.600,0.000,0.000,4.000,3.600,4.000
Linear increase,t36,21,3.680,0.000,0.800,4.000,4.080,4.000
Linear increase,t36,22,3.760,0.000,2.000,5.750,4.090,4.000
Linear increase,t36,23,3.840,0.000,0.000,3.700,4.230,4.000
Linear increase,t36,24,3.920,0.000,0.000,4.000,4.150,4.000
Linear increase,t36,25,4.000,0.000,0.350,4.500,4.000,4.000
Linear increase,t36,26,4.080,0.000,0.000,4.200,3.880,4.000
Linear increase,t36,27,4.160,0.000,0.000,4.000,4.040,4.000
Linear increase,t36,28,4.240,0.000,0.000,4.100,4.180,4.000
Linear increase,t36,29,4.320,0.000,2.000,6.400,4.100,4.000
Linear increase,t36,30,4.400,0.000,0.000,4.300,4.200,4.000
Linear increase,t36,31,4.480,0.000,0.000,4.500,4.180,4.000
Linear increase,t36,32,4.560,0.000,0.500,5.000,4.240,4.000
Linear increase,t36,33,4.640,0.000,0.000,5.000,3.880,4.000
Linear increase,t36,34,4.720,0.000,0.000,4.600,4.000,4.000
Linear increase,t36,35,4.800,0.000,0.500,5.200,4.100,4.000
Linear increase,t36,36,4.880,0.000,0.000,4.850,4.130,4.000
Linear increase,t36,37,4.960,0.000,0.000,5.000,4.090,4.000
Linear increase,t36,38,5.040,0.000,0.000,5.000,4.130,4.000
Linear increase,t36,39,5.120,0.000,0.000,5.200,4.050,4.000
Linear increase,t36,40,5.200,0.000,0.000,5.250,4.000,4.000
Linear increase,t36,41,5.280,0.000,0.850,6.000,4.130,4.000
Linear increase,t36,42,5.360,0.000,0.000,5.400,4.090,4.000
Linear increase,t36,43,5.440,0.000,0.000,5.500,4.030,4.000
Linear increase,t36,44,5.520,0.000,0.000,5.500,4.050,4.000
Linear increase,t36,45,5.600,0.000,0.000,5.630,4.020,4.000
Linear increase,t36,46,5.680,0.000,0.000,5.750,3.950,4.000
Linear increase,t36,47,5.760,0.000,0.000,5.800,3.910,4.000
Linear increase,t36,48,5.840,0.000,0.000,5.900,3.850,4.000
Linear increase,t36,49,5.920,0.000,0.000,5.900,3.870,4.000
Linear increase,t36,50,6.000,0.000,0.000,5.900,3.970,4.000
Linear increase,t36,51,6.080,0.000,0.000,6.000,4.050,4.000
Linear increase,t36,52,6.160,0.000,0.000,6.130,4.080,4.000
Linear increase,t36,53,6.240,0.000,0.000,6.280,4.040,4.000
Linear increase,t36,54,6.320,0.000,0.000,6.400,3.960,4.000
Linear increase,t36,55,6.400,0.000,0.000,6.420,3.940,4.000
Linear increase,t36,56,6.480,0.000,0.300,6.500,4.220,4.000
Linear increase,t36,57,6.560,0.000,0.000,6.700,4.080,4.000
Linear increase,t36,58,6.640,0.000,0.000,6.700,4.020,4.000
Linear increase,t36,59,6.720,0.000,0.000,6.750,3.990,4.000
Linear increase,t36,60,6.800,0.000,0.000,6.770,4.020,4.000
Linear increase,t36,61,6.880,0.000,0.000,6.850,4.050,4.000
Linear increase,t36,62,6.960,0.000,0.000,6.950,4.060,4.000
Linear increase,t36,63,7.040,0.000,0.500,7.000,4.600,4.000
Linear increase,t36,64,7.120,0.000,0.000,8.000,3.720,4.000
Linear increase,t36,65,7.200,0.000,0.000,7.300,3.620,4.000
Linear increase,t36,66,7.280,0.000,0.000,7.000,3.900,4.000
Linear increase,t36,67,7.360,0.000,0.000,7.400,3.860,4.000
Linear increase,t36,68,7.440,0.000,0.000,7.350,3.950,4.000
Linear increase,t36,69,7.520,0.000,0.000,7.450,4.020,4.000
Linear increase,t36,70,7.600,0.000,0.000,7.600,4.020,4.000
Linear increase,t36,71,7.680,0.000,0.000,7.630,4.070,4.000
Linear increase,t36,72,7.760,0.000,0.000,7.750,4.080,4.000
Linear increase,t36,73,7.840,0.000,0.000,7.840,4.080,4.000
Linear increase,t36,74,7.920,0.000,0.000,7.950,4.050,4.000
Linear increase,t36,75,8.000,0.000,0.000,8.000,4.050,4.000
Linear increase,t36,76,8.080,0.000,0.000,8.180,3.950,4.000
Linear increase,t36,77,8.160,0.000,0.000,8.150,3.960,4.000
Linear increase,t36,78,8.240,0.000,0.000,8.230,3.970,4.000
Linear increase,t36,79,8.320,0.000,0.000,8.350,3.940,4.000
Linear increase,t36,80,8.400,0.000,0.000,8.400,3.940,4.000
Linear increase,t36,81,8.480,0.000,0.000,8.500,3.920,4.000
Linear increase,t36,82,8.560,0.000,0.000,8.500,3.980,4.000
Linear increase,t36,83,8.640,0.000,0.000,8.600,4.020,4.000
Linear increase,t36,84,8.720,0.000,0.000,8.700,4.040,4.000
Linear increase,t36,85,8.800,0.000,0.000,8.830,4.010,4.000
Linear increase,t36,86,8.880,0.000,0.000,8.900,3.990,4.000
